Date,Open,High,Low,Close,Volume
1/2/2024,250.08,251.25,244.41,248.42,104654200.00
1/3/2024,244.98,245.68,236.32,238.45,121082600.00
1/4/2024,239.25,242.70,237.73,237.93,102629300.00
1/5/2024,236.86,240.12,234.90,237.49,92379400.00
1/8/2024,236.14,241.25,235.30,240.45,85166600.00
1/9/2024,238.11,238.96,232.04,234.96,96705700.00
1/10/2024,235.10,235.50,231.29,233.94,91628500.00
1/11/2024,230.57,230.93,225.37,227.22,105873600.00
1/12/2024,220.08,225.34,217.15,218.89,122889000.00
1/16/2024,215.10,223.49,212.18,219.91,115355000.00
1/17/2024,214.86,215.67,212.01,215.55,103164400.00
1/18/2024,216.88,217.45,208.74,211.88,108595400.00
1/19/2024,209.99,213.19,207.56,212.19,102095800.00
1/22/2024,212.26,217.80,206.27,208.80,117952500.00
1/23/2024,211.30,215.65,207.75,209.14,106605900.00
1/24/2024,211.88,212.73,206.77,207.83,123369900.00
1/25/2024,189.70,193.00,180.06,182.63,198076800.00
1/26/2024,185.50,186.78,182.10,183.25,107343200.00
1/29/2024,185.63,191.48,183.67,190.93,125013100.00
1/30/2024,195.33,196.36,190.61,191.59,109982300.00
1/31/2024,187.00,193.97,185.85,187.29,103221400.00
2/1/2024,188.50,189.88,184.28,188.86,91843300.00
2/2/2024,185.04,188.69,182.00,187.91,110505100.00
2/5/2024,184.26,184.68,175.01,181.06,134294400.00
2/6/2024,177.21,186.49,177.11,185.10,122676000.00
2/7/2024,188.18,189.79,182.68,187.58,111535200.00
2/8/2024,189.00,191.62,185.58,189.56,83034000.00
2/9/2024,190.18,194.12,189.48,193.57,84476300.00
2/12/2024,192.11,194.73,187.28,188.13,95498600.00
2/13/2024,183.99,187.26,182.11,184.02,86759500.00
2/14/2024,185.30,188.89,183.35,188.71,81203000.00
2/15/2024,189.16,200.88,188.86,200.45,120831800.00
2/16/2024,202.06,203.17,197.40,199.95,111173600.00
2/20/2024,196.13,198.60,189.13,193.76,104545800.00
2/21/2024,193.36,199.44,191.95,194.77,103844000.00
2/22/2024,194.00,198.32,191.36,197.41,92739500.00
2/23/2024,195.31,197.57,191.50,191.97,78841900.00
2/26/2024,192.29,201.78,192.00,199.40,111747100.00
2/27/2024,204.04,205.60,198.26,199.73,108645400.00
2/28/2024,200.42,205.30,198.44,202.04,99806200.00
2/29/2024,204.18,205.28,198.45,201.88,85907000.00
3/1/2024,200.52,204.52,198.50,202.64,82099200.00
3/4/2024,198.73,199.75,186.72,188.14,134334900.00
3/5/2024,183.05,184.59,177.57,180.74,119660800.00
3/6/2024,179.99,181.58,173.70,176.54,107920900.00
3/7/2024,174.35,180.04,173.70,178.65,102129000.00
3/8/2024,181.50,182.73,174.70,175.34,85315300.00
3/11/2024,175.45,182.87,174.80,177.77,85391500.00
3/12/2024,177.77,179.43,172.41,177.54,87391700.00
3/13/2024,173.05,176.05,169.15,169.48,106524500.00
3/14/2024,167.77,171.17,160.51,162.50,126325700.00
3/15/2024,163.16,165.18,160.76,163.57,96971900.00
3/18/2024,170.02,174.72,165.90,173.80,108214400.00
3/19/2024,172.36,172.82,167.42,171.32,77271400.00
3/20/2024,173.00,176.25,170.82,175.66,83846700.00
3/21/2024,176.39,178.18,171.80,172.82,73178000.00
3/22/2024,166.69,171.20,166.30,170.83,75454700.00
3/25/2024,168.76,175.24,168.73,172.63,74228600.00
3/26/2024,178.58,184.25,177.38,177.67,113186200.00
3/27/2024,181.41,181.91,176.00,179.83,81804000.00
3/28/2024,177.45,179.57,175.30,175.79,77654800.00
4/1/2024,176.17,176.75,170.21,175.22,81562100.00
4/2/2024,164.75,167.69,163.43,166.63,116650600.00
4/3/2024,164.02,168.82,163.28,168.38,82950100.00
4/4/2024,170.07,177.19,168.01,171.11,123162000.00
4/5/2024,169.08,170.86,160.51,164.90,141250700.00
4/8/2024,169.34,174.50,167.79,172.98,104423300.00
4/9/2024,172.91,179.22,171.92,176.88,103232700.00
4/10/2024,173.04,174.93,170.01,171.76,84532400.00
4/11/2024,172.55,175.88,168.51,174.60,94516000.00
4/12/2024,172.34,173.81,170.36,171.05,64506600.00
4/15/2024,170.24,170.69,161.38,161.48,100245300.00
4/16/2024,156.74,158.19,153.75,157.11,97000000.00
4/17/2024,157.64,158.33,153.78,155.45,82439700.00
4/18/2024,151.25,152.20,148.70,149.93,96098800.00
4/19/2024,148.97,150.94,146.22,147.05,86005100.00
4/22/2024,140.56,144.44,138.80,142.05,107097600.00
